frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags
"1741693393.520216000","20.207.73.85","192.168.86.193","443","39546","0x0010"
"1741693393.520218000","20.207.73.85","192.168.86.193","443","39546","0x0010"
"1741693393.520284000","192.168.86.193","20.207.73.85","39546","443","0x0010"
"1741693393.520323000","20.207.73.85","192.168.86.193","443","39546","0x0018"
"1741693393.520332000","192.168.86.193","20.207.73.85","39546","443","0x0010"
"1741693393.521092000","20.207.73.85","192.168.86.193","443","39546","0x0018"
"1741693393.521133000","192.168.86.193","20.207.73.85","39546","443","0x0010"
"1741693393.521864000","192.168.86.193","20.207.73.85","39546","443","0x0018"
"1741693393.522126000","192.168.86.193","20.207.73.85","39546","443","0x0018"
"1741693393.522359000","192.168.86.193","20.207.73.85","39546","443","0x0018"
"1741693393.590287000","20.207.73.85","192.168.86.193","443","39546","0x0018"
"1741693393.590289000","20.207.73.85","192.168.86.193","443","39546","0x0018"
"1741693393.590289000","20.207.73.85","192.168.86.193","443","39546","0x0018"
"1741693393.590590000","192.168.86.193","20.207.73.85","39546","443","0x0010"
"1741693393.590880000","192.168.86.193","20.207.73.85","39546","443","0x0018"
"1741693393.631145000","20.207.73.85","192.168.86.193","443","39546","0x0010"
"1741693393.637085000","20.207.73.85","192.168.86.193","443","39546","0x0010"
"1741693393.641817000","192.168.86.193","169.254.169.254","51340","80","0x0002"
"1741693393.641915000","192.168.86.193","169.254.169.254","51356","80","0x0002"
"1741693393.957898000","20.207.73.85","192.168.86.193","443","39546","0x0018"
"1741693393.958158000","192.168.86.193","20.207.73.85","39546","443","0x0010"
"1741693393.966004000","192.168.86.193","20.207.73.85","39546","443","0x0018"
"1741693393.990011000","35.206.80.10","192.168.86.193","443","46118","0x0010"
"1741693393.990044000","192.168.86.193","35.206.80.10","46118","443","0x0010"
"1741693394.029136000","20.207.73.85","192.168.86.193","443","39546","0x0010"
"1741693394.116732000","192.168.86.193","20.189.172.32","59238","443","0x0002"
"1741693394.117767000","192.168.86.193","20.189.172.32","59246","443","0x0002"
"1741693394.367322000","20.207.73.85","192.168.86.193","443","39546","0x0018"
"1741693394.367581000","192.168.86.193","20.207.73.85","39546","443","0x0010"
"1741693394.375889000","192.168.86.193","192.168.86.88",,,
"1741693394.376115000","192.168.86.193","192.168.86.88",,,
"1741693394.385588000","192.168.86.193","169.254.169.254","51360","80","0x0002"
"1741693394.391230000","20.189.172.32","192.168.86.193","443","59238","0x0012"
"1741693394.391274000","192.168.86.193","20.189.172.32","59238","443","0x0004"
"1741693394.408324000","20.189.172.32","192.168.86.193","443","59246","0x0012"
"1741693394.408359000","192.168.86.193","20.189.172.32","59246","443","0x0004"
"1741693394.409386000","192.168.86.88","192.168.86.193",,,
"1741693394.409741000","192.168.86.88","192.168.86.193",,,
"1741693394.410926000","192.168.86.193","192.168.86.88",,,
"1741693394.417802000","192.168.86.193","13.107.246.48","53942","443","0x0002"
"1741693394.449732000","192.168.86.88","192.168.86.193",,,
"1741693394.479709000","192.168.86.193","13.107.13.93","60278","443","0x0011"
"1741693394.668462000","192.168.86.193","13.107.246.48","53944","443","0x0002"
"1741693394.670114000","13.107.13.93","192.168.86.193","443","60278","0x0010"
"1741693394.670116000","13.107.13.93","192.168.86.193","443","60278","0x0011"
"1741693394.670192000","192.168.86.193","13.107.13.93","60278","443","0x0010"
"1741693394.712556000","13.107.246.48","192.168.86.193","443","53944","0x0012"
"1741693394.712619000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693394.713864000","192.168.86.193","13.107.246.48","53944","443","0x0018"
"1741693394.789722000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693394.795399000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693394.798318000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693394.798369000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693394.798907000","192.168.86.193","13.107.246.48","53944","443","0x0018"
"1741693394.840448000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693394.841343000","192.168.86.193","13.107.246.48","53944","443","0x0018"
"1741693394.841619000","192.168.86.193","13.107.246.48","53944","443","0x0018"
"1741693394.841871000","192.168.86.193","13.107.246.48","53944","443","0x0018"
"1741693394.889234000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693394.889564000","192.168.86.193","13.107.246.48","53944","443","0x0018"
"1741693394.890921000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693394.910496000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693394.910551000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693394.910813000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693394.911989000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693394.912991000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693394.913161000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693394.914094000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693394.914742000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693394.914868000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693394.916613000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693394.916773000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693394.949377000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693394.949959000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693394.950220000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693394.970444000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693394.972377000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693394.972596000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693394.972934000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693394.973872000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693394.974738000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693394.975020000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693394.976801000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693394.989581000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693394.989636000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693394.989999000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693394.991026000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693394.991054000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693394.993377000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693394.994419000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693394.994449000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693394.995108000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693394.996058000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693394.996085000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693394.996939000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693394.999101000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693394.999146000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693395.000020000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693395.000995000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693395.001020000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693395.001916000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693395.031332000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693395.031378000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693395.033086000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693395.034086000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693395.034136000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693395.051721000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693395.052829000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693395.052873000","192.168.86.193","13.107.246.48","53944","443","0x0010"
"1741693395.054073000","13.107.246.48","192.168.86.193","443","53944","0x0010"
"1741693395.055378000","13.107.246.48","192.168.86.193","443","53944","0x0018"
"1741693395.055379000","13.107.246.48","192.168.86.193","443","53944","0x0010"
