"No.","Time","Source","Destination","Protocol","Length","Info"
"56","8.836091185","10.0.0.7","10.0.0.1","TCP","74","5201  >  50882 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176922516 TSecr=2448808193 WS=512"
"57","8.836102385","10.0.0.1","10.0.0.7","TCP","66","50882  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448808193 TSecr=2176922516"
"58","8.836124267","10.0.0.1","10.0.0.7","iPerf3","103","50882  >  5201 Cookie: ""pk3j3ftk55w32msqsakkuxzroduzvlkq3lea"""
"59","8.836141078","10.0.0.7","10.0.0.1","TCP","66","5201  >  50882 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176922516 TSecr=2448808193"
"60","8.837199712","10.0.0.1","10.0.0.7","TCP","74","50894  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448808194 TSecr=0 WS=512"
"61","8.837229587","10.0.0.7","10.0.0.1","TCP","74","5201  >  50894 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176922517 TSecr=2448808194 WS=512"
"62","8.837247639","10.0.0.1","10.0.0.7","TCP","66","50894  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448808195 TSecr=2176922517"
"63","8.837269633","10.0.0.1","10.0.0.7","iPerf3","103","50894  >  5201 Cookie: ""pk3j3ftk55w32msqsakkuxzroduzvlkq3lea"""
"64","8.837284901","10.0.0.7","10.0.0.1","TCP","66","5201  >  50894 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176922518 TSecr=2448808195"
"65","8.838373508","10.0.0.1","10.0.0.7","TCP","74","50898  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448808196 TSecr=0 WS=512"
"66","8.838403404","10.0.0.7","10.0.0.1","TCP","74","5201  >  50898 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176922519 TSecr=2448808196 WS=512"
"67","8.838415094","10.0.0.1","10.0.0.7","TCP","66","50898  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448808196 TSecr=2176922519"
"68","8.838436394","10.0.0.1","10.0.0.7","iPerf3","103","50898  >  5201 Cookie: ""pk3j3ftk55w32msqsakkuxzroduzvlkq3lea"""
"69","8.838453664","10.0.0.7","10.0.0.1","TCP","66","5201  >  50898 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176922519 TSecr=2448808196"
"70","8.839343685","10.0.0.1","10.0.0.7","TCP","74","50908  >  5201 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2448808197 TSecr=0 WS=512"
"71","8.839371259","10.0.0.7","10.0.0.1","TCP","74","5201  >  50908 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=2176922520 TSecr=2448808197 WS=512"
"72","8.839380961","10.0.0.1","10.0.0.7","TCP","66","50908  >  5201 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2448808197 TSecr=2176922520"
"73","8.839401006","10.0.0.1","10.0.0.7","iPerf3","103","50908  >  5201 Cookie: ""pk3j3ftk55w32msqsakkuxzroduzvlkq3lea"""
"74","8.839416825","10.0.0.7","10.0.0.1","TCP","66","5201  >  50908 [ACK] Seq=1 Ack=38 Win=43520 Len=0 TSval=2176922520 TSecr=2448808197"
"75","8.840817368","10.0.0.7","10.0.0.1","iPerf3","67","5201  >  50820 TEST_START(1)"
"76","8.840868331","10.0.0.7","10.0.0.1","iPerf3","67","5201  >  50820 TEST_RUNNING(2)"
