frame.time_epoch,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,_ws.col.info
1741713017.248478439,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3321 Ack=1 Win=64256 Len=40 TSval=2606144441 TSecr=4166102360
1741713018.249241864,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3361 Ack=1 Win=64256 Len=40 TSval=2606145442 TSecr=4166103361
1741713019.249879979,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3401 Ack=1 Win=64256 Len=40 TSval=2606146442 TSecr=4166104362
1741713020.250604922,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3441 Ack=1 Win=64256 Len=40 TSval=2606147443 TSecr=4166105362
1741713021.251211636,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3481 Ack=1 Win=64256 Len=40 TSval=2606148444 TSecr=4166106363
1741713022.251903930,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3521 Ack=1 Win=64256 Len=40 TSval=2606149444 TSecr=4166107364
1741713023.252561665,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3561 Ack=1 Win=64256 Len=40 TSval=2606150445 TSecr=4166108364
1741713024.253196219,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3601 Ack=1 Win=64256 Len=40 TSval=2606151446 TSecr=4166109365
1741713025.253715392,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3641 Ack=1 Win=64256 Len=40 TSval=2606152446 TSecr=4166110366
1741713026.254331305,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3681 Ack=1 Win=64256 Len=40 TSval=2606153447 TSecr=4166111366
1741713027.254972823,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3721 Ack=1 Win=64256 Len=40 TSval=2606154447 TSecr=4166112367
1741713028.255601243,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3761 Ack=1 Win=64256 Len=40 TSval=2606155448 TSecr=4166113368
1741713029.256234589,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3801 Ack=1 Win=64256 Len=40 TSval=2606156449 TSecr=4166114368
1741713030.256715422,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3841 Ack=1 Win=64256 Len=40 TSval=2606157449 TSecr=4166115369
1741713031.257288216,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3881 Ack=1 Win=64256 Len=40 TSval=2606158450 TSecr=4166116369
1741713032.257811838,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3921 Ack=1 Win=64256 Len=40 TSval=2606159450 TSecr=4166117370
1741713033.258373456,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=3961 Ack=1 Win=64256 Len=40 TSval=2606160451 TSecr=4166118370
1741713034.258851719,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=4001 Ack=1 Win=64256 Len=40 TSval=2606161451 TSecr=4166119371
1741713035.259305886,106,10.0.0.2,10.0.0.1,56628,5001,40,56628 → 5001 [PSH, ACK] Seq=4041 Ack=1 Win=64256 Len=40 TSval=2606162452 TSecr=4166120371
1741713036.260073516,82,10.0.0.2,10.0.0.1,56628,5001,16,56628 → 5001 [PSH, ACK] Seq=4081 Ack=1 Win=64256 Len=16 TSval=2606163453 TSecr=4166121372
